intent-group,loom-design,molecule,strain,loom-name,loom-description,design/epitope,design/misc,design/misc-2,design-genome/organism,design/orf,design/epitope-protein-mutations,design/epitope-source-organism,design/orf-protein-mutations,design/orf-source-organism,design/part,design/backbone,selection-marker/antibiotic-resistance,design-properties/copy-number
Mammalian expression,1062,4133471,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133596,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4133626,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4134542,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133375,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4133868,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133384,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4133271,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4133359,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133857,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133159,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4134213,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133315,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,6xHis-003,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4133684,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4134296,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4134107,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4133164,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4134251,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4134181,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4133490,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4134288,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,6xHis-003,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4134358,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4134438,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4134182,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4133745,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4133743,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133298,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133677,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4134204,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4134195,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4134257,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4134192,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133783,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4133591,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133173,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133259,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4133908,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4134321,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4134218,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133310,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,6xHis-003,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4134447,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133408,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4134248,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4134231,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4134303,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4133659,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133552,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4134177,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4134547,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4133954,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133960,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4134451,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4134263,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133690,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133464,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4134084,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4133824,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4133233,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1062,4134096,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1062,4134122,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1062,4133922,,Copy of  Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
